용어
1인당 국민소득
2차 시장(Secondary Market)
5일선
70의 법칙
ABCP(Asset Backed Commercial Paper)
AMA(Auto Management Account)
"At The Money(ATM, 앳 더 머니)"
BIC
"BIS(Bank for International Settlements, 국제결제은행)"
BOP(Base of Economic Pyramid)
Barclays Global Aggregate
Behavioral Finance
CAMEL지수(카멜지수)
CAPM
CB(Credit Bureau)
CDO
CDS 프리미엄
CD금리
CFaR(cashflow at risk)
CMA
CMI(치앙마이 이니셔티브) 다자화 기금
COFIX(자금조달비용지수)
COMESA(Common Market for Eastern and Southern Africa)
Covered Bond
C의 공포
DB형 퇴직연금
DC형 퇴직연금
DIB(Development impact bond)
DLS(파생결합증권)
Detal(델타)
ELF(주가연계펀드)
ELS(주가연계증권)
ELW(주식워런트증권)
ESG 펀드
ETF(상장지수펀드)
ETN(exchage trade note)
EWE(Early Warning Exercise)
Experimental Finance
FOB(지적선적항 본선 인도조건) / CIF(지적목적항 운임보험료 포함 인도조건)
FOFs(Fund of funds)
"FSB(Financial Stability Board, 금융안정위원회)"
"FTA(Free Trade Agreement, 자유무역협정)"
"FTC(Federal Trade Commission, 미국 연방거래위원회)"
FTSE지수
FX 마진거래(Foreign Exchange Margin Trading)
Financial Econometrics
Fixed Income
G 유로
G20
G7/G8
GATT(General Agreement on Tariff and Trade)
GDP갭
GDP디플레이터
GP(genaral partner)
GSP(일반특혜관세)
Gasp
HTS(Home Trading System)
"IBRD(International Bank for Reconstruction and Development, 국제부흥개발은행)"
ICN회의(국제경쟁네트워크)
IMF포지션(IMF Position)
IRA(Individual Retirement Account)
"IRR(Internal Rate of Return, 내부수익률)"
ISM지수
J커브 효과(J-curve Effect)
KOAFEC(KOrea AFrica Economic cooperation Conference)
Korea's Proposal(한국식 부실채권 처리 방안)
LP(limited partner)
LaR(liquidity at Risk)
L자 경기침체
M3(총유동성)
"MDB(Multilateral Development Bank, 다자개발은행)"
MDRT
MMDA
MMF(Money Market Funds)
MMW(Money Market Wrap)
MOR(Market Opportunity Rate)
MSCI 신흥국지수
NDF(Non-Deliverable Forward; 역외선물환)
NPL(Non Performing Loan)
Net Present Value(순현재가치)
OBV
OCIO(Outsourced Chief Investment Officer)
"OECD(Organization for Economic Cooperation and Development, 경제협력개발기구)"
"OTC(Over The Counter market: 점두시장, 장외시장, 창구거래)"
P&A(Purchase & Assumption; 자산부채이전)
P-CBO
P2P 금융(Peer to Peer Finance)
PECC(Pacific Economic Cooperation Council)
PEMNA
PEP(Personal Equity Plan)
PF대출
PIR
RAPM(위험조정성과평가)
RAROC(위험조정수익률)
RP금리
Recourse
Rho(로)
S&P
SDR(특별인출권)
SEPA(단일유로결제지역)
SRI 펀드(Socially Responsible Investments)
SSNIP Test(Small but Significant Non-transitory Increase in Prices)
STOXX50
Short Sale(공매)
Smart Branch
TCE
TDF(target date fund)
TRS(Total Return Swap)
VIX
VIX ETN
VaR(Value at Risk)
V자 경기회복/U자 경기회복
WEF 국가경쟁력 평가
"WGBI(World Governmenet Bond Index, 세계국채지수)"
